#Rotator,#Paddle1,#Paddle2,#Paddle3,#S1,#S2,#S3,#DOP,#Power
45.000000,0.000000,69.985401,139.970803,0.481721,0.692286,-0.537293,0.953873,0.000014
0.000000,0.000000,69.985401,150.021898,-0.556280,0.678380,0.479950,0.978451,0.000010
45.000000,0.000000,69.985401,150.021898,0.098476,0.638577,-0.763230,0.968803,0.000014
0.000000,0.000000,69.985401,159.948905,-0.496641,0.705873,0.505066,0.976625,0.000010
45.000000,0.000000,69.985401,159.948905,-0.309473,0.401176,-0.862139,0.979242,0.000014
0.000000,0.000000,69.985401,170.000000,-0.524723,0.738956,0.422622,0.978974,0.000010
45.000000,0.000000,69.985401,170.000000,-0.546599,0.102844,-0.831054,0.983803,0.000014
0.000000,0.000000,80.036496,0.000000,-0.814692,0.197021,0.545399,0.988744,0.000010
45.000000,0.000000,80.036496,0.000000,-0.577523,-0.180152,-0.796249,0.980745,0.000014
0.000000,0.000000,80.036496,10.051095,-0.899553,0.103961,0.424260,0.992992,0.000010
45.000000,0.000000,80.036496,10.051095,-0.396890,-0.576509,-0.714224,0.967030,0.000014
0.000000,0.000000,80.036496,19.978102,-0.956135,-0.113937,0.269858,0.995834,0.000010
45.000000,0.000000,80.036496,19.978102,-0.024698,-0.820519,-0.571086,0.951210,0.000014
0.000000,0.000000,80.036496,30.029197,-0.888060,-0.450418,0.092043,0.992260,0.000010
